V (V)	I (A)
1.718E-3	1.242E-5
1.749E-2	7.790E-5
2.568E-2	1.210E-4
2.992E-2	1.485E-4
4.187E-2	2.484E-4
4.758E-2	3.129E-4
5.435E-2	4.054E-4
6.375E-2	5.697E-4
7.558E-2	8.414E-4
9.546E-2	1.470E-3
1.054E-1	1.864E-3
1.092E-1	2.026E-3
1.202E-1	2.539E-3
1.290E-1	2.987E-3
1.351E-1	3.317E-3
1.498E-1	4.179E-3
1.696E-1	5.457E-3
1.720E-1	5.629E-3
1.801E-1	6.194E-3
1.892E-1	6.864E-3
1.991E-1	7.611E-3
2.108E-1	8.526E-3
2.207E-1	9.326E-3
2.299E-1	1.008E-2
2.367E-1	1.066E-2
2.545E-1	1.217E-2
2.662E-1	1.319E-2
2.760E-1	1.405E-2
2.993E-1	1.612E-2
3.110E-1	1.717E-2
3.171E-1	1.772E-2
3.402E-1	2.037E-2
3.499E-1	2.127E-2
3.611E-1	2.228E-2
3.665E-1	2.277E-2
3.745E-1	2.349E-2
3.825E-1	2.421E-2
3.825E-1	2.422E-2
3.905E-1	2.492E-2
3.942E-1	2.527E-2
4.009E-1	2.586E-2
4.040E-1	2.619E-2
4.180E-1	1.035E-2
4.230E-1	1.065E-2
4.291E-1	1.103E-2
4.328E-1	1.127E-2
4.390E-1	1.167E-2
4.427E-1	1.192E-2
4.458E-1	1.214E-2
4.475E-1	1.225E-2
4.606E-1	1.317E-2
4.668E-1	1.362E-2
4.704E-1	1.389E-2
4.803E-1	1.463E-2
4.901E-1	1.538E-2
4.969E-1	1.591E-2
5.037E-1	1.646E-2
5.062E-1	1.666E-2
5.086E-1	1.685E-2
5.160E-1	1.746E-2
5.246E-1	1.817E-2
5.326E-1	1.884E-2
5.394E-1	1.942E-2
5.503E-1	2.038E-2
5.588E-1	2.115E-2
5.646E-1	2.161E-2
5.787E-1	2.286E-2
5.859E-1	2.351E-2
6.015E-1	2.494E-2
6.106E-1	2.575E-2
6.247E-1	2.707E-2
6.394E-1	2.867E-2
6.412E-1	2.908E-2
6.503E-1	3.019E-2
6.576E-1	3.128E-2
6.692E-1	3.281E-2
6.770E-1	3.420E-2
6.830E-1	3.515E-2
7.001E-1	3.774E-2
7.066E-1	3.907E-2
7.126E-1	4.016E-2
7.205E-1	4.149E-2
7.319E-1	4.355E-2
7.446E-1	4.588E-2
7.628E-1	5.009E-2
7.784E-1	5.379E-2
7.892E-1	5.698E-2
8.001E-1	6.035E-2
8.223E-1	6.546E-2
8.527E-1	7.547E-2
8.773E-1	8.151E-2
8.965E-1	8.701E-2
9.046E-1	8.979E-2
9.182E-1	9.332E-2
9.408E-1	9.883E-2
9.414E-1	9.993E-2
