V (V)	I (A)
2.436E-1	1.038E-3
2.262E-1	7.608E-4
1.946E-1	3.993E-4
1.330E-1	1.024E-4
1.186E-1	7.287E-5
2.276E-2	1.456E-5
3.370E-1	1.252E-3
3.200E-1	1.409E-3
3.070E-1	1.404E-3
2.869E-1	1.473E-3
2.730E-1	1.563E-3
2.637E-1	1.407E-3
2.869E-1	1.472E-3
3.019E-1	1.396E-3
3.408E-1	1.251E-3
3.558E-1	1.330E-3
3.690E-1	1.443E-3
3.777E-1	1.534E-3
3.777E-1	1.534E-3
2.537E-1	1.217E-3
2.731E-1	1.563E-3
2.737E-1	1.571E-3
2.688E-1	1.494E-3
2.588E-1	1.310E-3
2.463E-1	1.079E-3
2.363E-1	9.074E-4
2.194E-1	6.597E-4
2.050E-1	4.936E-4
1.806E-1	2.910E-4
1.705E-1	2.305E-4
1.505E-1	1.439E-4
2.749E-1	1.586E-3
2.787E-1	1.620E-3
2.805E-1	1.631E-3
2.831E-1	1.559E-3
2.818E-1	1.624E-3
2.818E-1	1.622E-3
2.837E-1	1.506E-3
2.931E-1	1.459E-3
3.351E-1	1.255E-3
3.251E-1	1.368E-3
3.926E-1	1.712E-3
4.026E-1	1.852E-3
4.145E-1	2.028E-3
4.376E-1	2.408E-3
4.657E-1	2.920E-3
5.411E-1	4.739E-3
5.690E-1	5.706E-3
