V (V)	I (A)
1.410E-3	1.959E-5
3.835E-2	3.784E-4
1.951E-2	1.953E-4
6.508E-3	6.845E-5
1.709E-2	1.713E-4
4.334E-2	4.274E-4
2.714E-2	2.703E-4
6.840E-2	6.711E-4
8.901E-2	8.721E-4
9.834E-2	9.621E-4
1.339E-1	1.308E-3
1.471E-1	1.436E-3
1.701E-1	1.658E-3
1.877E-1	1.828E-3
2.001E-1	1.949E-3
2.233E-1	2.173E-3
2.452E-1	2.385E-3
2.720E-1	2.643E-3
2.939E-1	2.855E-3
4.639E-1	4.488E-3
5.465E-1	5.276E-3
6.533E-1	6.297E-3
7.114E-1	6.858E-3
7.565E-1	7.299E-3
7.939E-1	7.677E-3
8.339E-1	8.101E-3
8.627E-1	8.426E-3
8.952E-1	8.822E-3
9.158E-1	9.093E-3
9.458E-1	9.520E-3
9.706E-1	9.905E-3
9.988E-1	1.038E-2
