V (V)	I (A)
2.162E-3	1.351E-7
2.543E-2	1.614E-7
4.747E-2	1.878E-7
7.755E-2	2.330E-7
1.101E-1	2.850E-7
1.435E-1	3.381E-7
1.617E-1	3.693E-7
1.888E-1	4.094E-7
2.138E-1	4.854E-7
2.333E-1	5.331E-7
2.559E-1	5.813E-7
2.709E-1	6.308E-7
2.861E-1	6.606E-7
3.018E-1	7.095E-7
3.250E-1	7.890E-7
3.332E-1	8.176E-7
3.526E-1	8.898E-7
3.740E-1	9.764E-7
3.928E-1	1.054E-6
4.193E-1	1.179E-6
4.550E-1	1.385E-6
4.952E-1	1.676E-6
5.530E-1	2.233E-6
5.782E-1	2.514E-6
5.990E-1	2.821E-6
6.392E-1	3.457E-6
6.612E-1	3.895E-6
6.962E-1	4.613E-6
7.221E-1	5.246E-6
7.459E-1	5.919E-6
7.754E-1	6.869E-6
8.024E-1	7.819E-6
8.401E-1	9.332E-6
8.783E-1	1.109E-5
9.211E-1	1.354E-5
9.481E-1	1.513E-5
9.838E-1	1.725E-5
